explain_mode,attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,ecfp8,weave,gconv,gnn,score
False,1,1,"[1074, 2009]",1,512,5,0.1029528349798711,256,128,128,adam,0.00011932690520931326,0.0007211365011908775,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 488, 'fingerprint_size': 2238, 'num_layers': 1}",0.3711793957131132
False,2,1,"[143, 919]",1,256,5,0.25374499347596485,256,128,128,adadelta,0.00015782127206586714,0.876189773764887,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 510, 'fingerprint_size': 2238, 'num_layers': 1}",0.33408236627114696
False,8,1,[2005],1,512,5,0.4291322224140971,256,128,128,adam,0.00022413575380318646,0.0001593666001916008,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 496, 'fingerprint_size': 2238, 'num_layers': 1}",0.3250737240550617
False,1,1,"[1598, 1147, 1439]",1,512,5,0.35456227066303847,256,128,128,adam,0.00021578935024031933,0.000793912752630888,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 359, 'fingerprint_size': 2238, 'num_layers': 1}",0.31579534024567796
False,8,1,"[609, 1196]",1,256,5,0.15863475332401972,128,128,128,adagrad,0.00017989528186110478,0.008262497464682642,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 355, 'fingerprint_size': 2238, 'num_layers': 1}",0.31551227594527265
False,2,1,[124],1,256,5,0.14935803936856537,128,128,128,adadelta,0.00041808238568799555,0.8326947727697321,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 89, 'fingerprint_size': 2238, 'num_layers': 1}",0.2812867796261392
False,1,1,[107],1,256,5,0.18758647074706702,128,128,128,adadelta,0.00010280799705992798,0.6671028782596548,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 65, 'fingerprint_size': 2238, 'num_layers': 1}",0.2786811352719652
False,4,1,"[1720, 990, 429]",1,256,5,0.4517336826358883,256,128,128,adadelta,0.0012722610796382632,0.7783039604495865,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 477, 'fingerprint_size': 2238, 'num_layers': 4}",0.27652101105683446
False,1,1,"[1549, 89]",1,256,5,0.14532575367864747,256,128,128,adamax,0.4038426454719107,0.00020041386646266828,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 137, 'fingerprint_size': 2238, 'num_layers': 4}",0.27350306256998846
False,2,1,"[1159, 938]",1,512,5,0.3592398659267797,128,128,128,adagrad,0.0003142982713149064,0.005348920437462195,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 286, 'fingerprint_size': 2238, 'num_layers': 2}",0.24869256305930584
False,1,1,"[1837, 934]",1,256,5,0.4950285938264448,256,128,128,adam,0.00011993427250141003,0.0010169163306381801,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 78, 'fingerprint_size': 2238, 'num_layers': 1}",0.24757884181858936
False,1,3,"[1825, 638, 1928]",1,512,5,0.1223879872320366,256,128,128,adam,0.00020721751673521087,0.0002440415259948087,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 484, 'fingerprint_size': 2238, 'num_layers': 3}",0.2472479443902195
False,4,2,[525],1,256,5,0.25011459880023934,256,128,128,rmsprop,0.00025724881664495924,0.0005636938673644099,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 250, 'fingerprint_size': 2238, 'num_layers': 3}",0.23928836554831157
